status_code,"name","class",create_admin,update_admin,"create_ts","update_ts",is_active
100,"Available","",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
200,"Unavailable","warning",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
300,"Ordered","info",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
400,"In-Stock","",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
500,"Out-of-Stock","danger",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
600,"Shipped","success",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
700,"Scheduled","info",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
800,"Confirmed","success",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
900,"Active","",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
1000,"Completed","disabled",0,NULL,"2016-09-18 20:15:23","2016-09-18 20:15:23",NULL
